dataset,end-date,entity,entry-date,geojson,geometry,name,organisation-entity,point,prefix,reference,start-date,typology,description,notes
local-plan-document-type,,5280000,2024-10-24,,,Local plan,600001,,local-plan-document-type,local-plan,,category,,
local-plan-document-type,,5280001,2024-10-24,,,Adoption statement,600001,,local-plan-document-type,adoption-statement,,category,,
local-plan-document-type,,5280002,2024-10-24,,,Area action plan,600001,,local-plan-document-type,area-action-plan,,category,,
local-plan-document-type,2024-10-25,5280003,2024-10-24,,,Financial viability study,600001,,local-plan-document-type,financial-viability-study,,category,,
local-plan-document-type,,5280004,2024-10-24,,,Inspectors report,600001,,local-plan-document-type,inspectors-report,,category,,
local-plan-document-type,,5280005,2024-10-24,,,Policies map,600001,,local-plan-document-type,policies-map,,category,,
local-plan-document-type,,5280006,2024-10-24,,,Strategic flood risk assessment,600001,,local-plan-document-type,strategic-flood-risk-assessment,,category,,
local-plan-document-type,,5280007,2024-10-24,,,Strategic housing market assessment,600001,,local-plan-document-type,strategic-housing-market-assessment,,category,,
local-plan-document-type,,5280008,2024-10-24,,,Supplementary planning documents,600001,,local-plan-document-type,supplementary-planning-documents,,category,,
local-plan-document-type,,5280009,2024-10-24,,,Local development scheme,600001,,local-plan-document-type,local-development-scheme,,category,,
local-plan-document-type,2024-10-25,5280010,2024-10-24,,,Sustainability appraisal,600001,,local-plan-document-type,sustainability-apprasial,,category,,
local-plan-document-type,,5280011,2024-10-24,,,Local plan review,600001,,local-plan-document-type,local-plan-review,,category,,
local-plan-document-type,,5280012,2024-10-24,,,Core strategy,600001,,local-plan-document-type,core-strategy,,category,,
local-plan-document-type,,5280013,2024-10-24,,,Site allocations,600001,,local-plan-document-type,site-allocations,,category,,
local-plan-document-type,,5280014,2024-10-25,,,Viability assessment,600001,,local-plan-document-type,viability-assessment,,category,,
local-plan-document-type,,5280015,2024-10-25,,,Sustainability appraisal,600001,,local-plan-document-type,sustainability-appraisal,,category,,
